,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison,Precinct #01-Little Sioux,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,,false
Harrison,Precinct #02-Pisgah,0,4,0,5,0,0,4,0,0,0,2,0,0,0,0,4,0,5,0,0,4,0,0,0,2,0,0,0,,false
Harrison,Precinct #03-Dunlap,0,12,0,18,0,0,15,0,15,0,5,3,0,1,0,12,0,21,0,0,15,0,17,0,0,0,0,0,,false
Harrison,Precinct #04-Mondamin,0,0,0,4,0,0,0,0,11,0,1,1,0,2,0,0,0,6,0,0,0,0,13,0,0,0,0,0,,false
Harrison,Precinct #05-Magnolia,0,8,0,10,0,0,6,0,6,0,5,0,0,0,0,8,0,11,0,0,9,0,6,0,0,0,0,0,,false
Harrison,Precinct #06-Boyer/Lincoln,0,3,0,5,0,0,5,0,2,0,2,0,0,2,0,0,0,5,0,0,6,0,8,0,0,0,0,0,,false
Harrison,Precinct #07 - Woodbine,0,6,0,6,0,0,2,0,7,0,4,1,0,2,0,6,0,8,0,0,0,0,8,0,5,0,0,0,,false
Harrison,Precinct #08-Modale,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,,false
Harrison,Precinct #09-Jefferson/LaGrange,0,3,0,3,0,0,1,0,7,1,3,0,0,0,0,3,0,3,0,0,0,0,7,0,4,0,0,1,,false
Harrison,Precinct #10 - Logan,0,9,0,4,0,0,2,0,9,1,7,2,0,0,0,12,0,0,0,0,0,0,12,0,10,0,0,0,,false
Harrison,Precinct #11 - St. John,0,8,0,12,0,0,9,0,6,0,9,7,0,0,0,10,0,17,0,0,9,0,0,0,13,0,0,0,,false
Harrison,Precinct #12 - Missouri Valley,0,13,0,21,0,0,14,0,20,0,14,0,0,0,0,13,0,21,0,0,14,0,20,0,14,0,0,0,,false
Harrison,Precinct #13-Persia,0,8,0,5,0,0,0,0,8,0,5,0,0,0,0,8,0,5,0,0,0,0,8,0,5,0,0,0,,false
