,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscatine,Bloomington,0,20,0,44,0,0,24,0,20,0,17,6,0,1,0,20,0,44,0,0,24,0,21,0,21,0,0,0,,false
Muscatine,Fruitland One-City,0,15,0,7,0,1,4,0,9,0,3,5,1,0,0,21,0,0,0,0,0,0,16,0,0,0,0,0,,false
Muscatine,Fruitland Two/Lake-Fruitl,0,0,0,13,0,0,6,0,0,0,5,0,0,0,0,0,0,16,0,0,7,0,0,0,7,0,0,0,,false
Muscatine,Fulton/Montpelier-City,0,15,0,10,0,0,0,0,11,0,10,3,0,0,0,15,0,10,0,0,0,0,11,0,10,0,0,0,,false
Muscatine,Goshen-City,0,2,0,3,0,1,1,0,14,0,10,2,0,0,0,0,0,0,0,0,0,0,17,0,15,0,0,0,,false
Muscatine,Muscatine 01st,0,23,0,21,0,0,16,0,36,0,16,9,0,0,0,23,0,22,0,0,20,0,37,0,19,0,0,0,,false
Muscatine,Muscatine 02nd,0,13,0,39,0,0,8,0,22,0,17,0,0,1,0,17,0,43,0,0,0,0,22,0,17,0,0,0,,false
Muscatine,Muscatine 03rd,0,15,0,13,0,1,6,0,30,1,9,6,0,0,0,17,0,15,0,1,0,0,33,0,15,0,0,0,,false
Muscatine,Muscatine 04th,0,0,0,26,0,0,0,0,37,0,12,0,0,0,0,0,0,26,0,0,0,0,37,0,12,0,0,0,,false
Muscatine,Muscatine 05th,0,12,0,7,0,2,0,0,30,2,9,7,0,5,0,12,0,0,0,0,0,0,33,0,12,12,0,0,,false
Muscatine,Muscatine 06th,4,22,0,60,0,0,17,0,34,7,20,7,0,0,0,9,0,73,0,0,40,0,44,0,5,0,0,0,,false
Muscatine,Muscatine 07th,0,11,0,10,0,0,2,0,27,0,10,1,0,0,0,13,0,10,0,0,0,0,27,0,10,0,0,0,,false
Muscatine,Muscatine 08th,0,7,0,8,0,0,0,0,17,0,6,4,0,0,0,10,0,8,0,0,0,0,23,0,0,1,0,0,,false
Muscatine,Muscatine 09th,0,26,0,42,0,0,0,0,44,0,0,0,0,0,0,26,0,42,0,0,0,0,44,0,0,0,0,0,,false
Muscatine,Muscatine 10th,0,18,0,14,0,1,7,0,28,4,10,11,0,0,0,30,0,20,0,0,0,0,35,0,5,3,0,0,,false
Muscatine,Orono-City,0,2,0,1,0,0,2,0,4,1,3,0,0,1,0,2,0,1,0,0,2,0,1,3,0,0,0,1,,false
Muscatine,Pike-City,0,8,0,8,0,0,0,0,7,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,6,,false
Muscatine,Seventy-Six/Cedar-Seventy,0,3,0,6,0,0,6,0,0,3,7,0,1,1,0,0,0,11,0,0,7,0,0,0,8,0,0,0,,false
Muscatine,Sweetland,0,16,0,15,0,0,12,0,13,7,13,3,0,2,0,16,0,17,0,0,20,0,15,0,13,0,0,0,,false
Muscatine,West Liberty 2,0,15,0,8,0,0,0,0,47,0,21,1,0,0,0,16,0,4,0,0,0,0,48,0,24,0,0,0,,false
Muscatine,West Liberty/Wapsie-WL1 C,0,8,0,32,0,0,12,0,49,0,29,14,0,0,0,0,0,48,0,0,0,0,55,0,34,0,0,0,,false
Muscatine,Wilton City,0,15,1,25,0,0,11,0,22,0,21,5,0,0,0,19,0,33,0,0,0,0,26,0,21,0,0,0,,false
Muscatine,Wilton/Moscow-Wilton,0,3,0,5,0,0,2,0,5,1,7,0,0,0,0,0,0,7,0,0,0,0,5,0,11,0,0,0,,false
