,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des Moines,PCT 1T,0,24,0,64,0,0,28,0,0,26,0,0,28,9,0,0,0,71,0,0,39,0,0,26.0,0,0,34.0,0
Des Moines,PCT 2,0,26,0,43,0,1,10,0,0,30,7,2,25,8,0,31,0,51,0,0,0,0,0,35.0,0,0,30.0,0
Des Moines,PCT 3,0,35,0,80,0,0,50,0,0,56,0,0,45,29,0,0,0,95,0,0,73,0,0,67.0,0,0,55.0,0
Des Moines,PCT 4,0,20,0,21,0,0,2,2,0,22,2,0,5,16,0,21,0,22,0,0,0,0,0,23.0,0,0,0.0,18
Des Moines,PCT 5,0,32,0,31,0,0,8,0,0,26,5,0,12,8,0,35,0,49,0,0,0,0,0,30.0,0,0,0.0,0
Des Moines,PCT 6,0,6,0,12,0,0,1,0,0,28,0,2,6,12,0,0,0,20,0,0,0,0,0,33.0,0,0,0.0,14
Des Moines,PCT 7,0,39,0,43,0,0,19,0,0,49,3,1,25,3,0,42,0,54,0,0,0,0,0,50.0,0,6,30.0,0
Des Moines,PCT 8,2,35,0,69,0,0,10,0,0,30,4,1,29,9,0,39,0,76,0,0,0,0,0,35.0,0,0,32.0,0
Des Moines,PCT 9,0,33,0,43,0,0,11,0,0,26,6,0,21,6,0,42,0,51,0,0,0,0,0,26.0,0,0,26.0,0
Des Moines,PCT DM,0,6,0,9,0,0,8,0,0,9,0,2,10,8,0,6,0,9,0,0,9,0,0,9.0,0,0,11.0,8
Des Moines,PCT FM,0,16,0,34,0,0,9,0,0,16,0,0,21,2,0,17,0,37,0,0,0,0,0,17.0,0,0,26.0,0
Des Moines,PCT HJ,0,9,0,15,0,0,0,0,0,2,0,0,10,1,0,0,0,21,0,0,0,0,0,0.0,0,1,15.0,0
Des Moines,PCT MY,0,22,0,29,0,0,8,0,0,10,0,0,10,2,0,25,0,34,0,0,15,0,0,0.0,0,7,0.0,0
Des Moines,PCT PW,1,3,0,3,0,0,2,0,0,7,1,1,2,0,0,12,0,0,0,0,0,0,0,8.0,0,0,0.0,0
Des Moines,PCT UNION,0,5,0,6,0,0,3,0,0,6,0,0,5,0,0,0,0,10,0,0,0,0,0,8.0,0,0,0.0,0
Des Moines,PCT WB,0,22,0,26,0,3,1,0,0,30,0,5,18,6,0,24,0,31,0,0,0,0,0,31.0,0,0,25.0,0
