,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista,ALBERT CITY FAIRFIELD COON,0,5,0,2,0,0,3,0,0,8,0,0,3,3,0,6,0,0,0,0,7,0,0,9.0,0,0,0.0,0,,false
Buena Vista,ALTA NOKOMIS ELK,0,20,0,10,0,0,0,0,0,16,0,0,9,15,0,20,0,9,0,0,0,0,0,18.0,0,0,7.0,15,,false
Buena Vista,LAKESIDE HAYES MAPLE VALLEY,0,16,0,6,0,0,6,0,0,4,4,0,5,6,0,17,0,0,0,0,10,0,0,0.0,0,0,8.0,12,,false
Buena Vista,NEWELL NEWELL PROVIDENCE,0,4,0,4,0,0,5,0,0,9,0,1,2,7,0,0,0,10,0,0,0,0,0,12.0,0,0,0.0,0,,false
Buena Vista,SRL;LGB;RELS;MAP,0,11,0,9,0,0,0,0,0,7,9,0,11,3,0,11,0,10,0,0,0,0,0,8.0,9,0,12.0,0,,false
Buena Vista,STORM LAKE 01,0,1,0,11,0,0,0,0,0,13,0,0,7,7,0,0,0,11,0,0,0,0,0,13.0,0,0,7.0,7,,false
Buena Vista,STORM LAKE 02,0,11,0,6,0,0,0,0,0,16,0,0,12,2,0,13,0,0,0,0,0,0,0,18.0,0,0,13.0,0,,false
Buena Vista,STORM LAKE 03,0,19,0,23,0,0,14,0,0,10,0,1,14,5,0,19,0,24,0,0,14,0,0,14.0,0,0,14.0,0,,false
Buena Vista,STORM LAKE 04,0,16,0,30,0,0,20,0,0,26,0,0,20,14,0,19,0,32,0,0,22,0,0,33.0,0,0,20.0,0,,false
Buena Vista,TRUESDALE WASHINGTON GRANT,0,6,0,3,0,0,4,0,0,5,0,0,3,0,0,8,0,2,0,0,6,0,0,3.0,0,0,3.0,0,,false
