,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardin,Alden/Buckeye,0,15,0,6,0,0,6,0,0,10,0,0,0,0,0,15,0,6,0,0,6,0,0,10.0,0,0,0.0,0,,false
Hardin,Concord/Sherman/Grant/Tip,0,14,0,16,0,0,12,0,0,11,8,0,11,4,0,18,0,16,0,0,14,0,0,12.0,0,2,14.0,0,,false
Hardin,Eldora City,0,14,0,19,0,0,14,0,0,13,0,0,17,0,0,14,0,19,0,0,14,0,0,13.0,0,0,17.0,0,,false
Hardin,Eldora/Pleasant/Prov/Unio,0,4,0,15,0,0,8,0,0,4,3,0,1,2,0,0,0,21,0,0,12,0,0,4.0,0,0,0.0,0,,false
Hardin,Etna/Clay,0,15,0,14,0,0,10,0,0,11,0,0,9,0,0,15,0,14,0,0,10,0,0,11.0,0,0,9.0,0,,false
Hardin,Hardin/Ellis/Jackson,0,10,0,14,0,0,19,0,0,7,0,0,11,1,0,10,0,14,0,0,19,0,0,0.0,0,0,19.0,0,,false
Hardin,Iowa Falls #1,0,22,0,31,0,0,9,0,0,13,0,0,20,5,0,24,0,35,0,0,0,0,0,18.0,0,0,23.0,0,,false
Hardin,Iowa Falls #2,0,12,0,34,0,0,20,0,0,21,1,0,20,2,0,0,0,39,0,0,27,0,0,21.0,0,0,22.0,0,,false
